category	yelp_rating	yelp_rating_count	yelp_price	seamless_rating	seamless_rating_count	seamless_price	sanitation_grade	sanitation_score	city	median_zip_income
korean	3.5882354	408	0.4				A	12	New York	101979
misc_asian	3.1491227	228	0.4	4	23	0.6	C	46	Queens	72538
mediterranean/mideastern	4.252066	242	0.4				A	10	Brooklyn	40960
mediterranean/mideastern	3.5714285	7	0.6				A	12	Queens	75729
pizza	3.9955947	1137	0.4				A	12	Brooklyn	28584
icecream/desserts	3.4	45	0.4				A	11	Brooklyn	45112
soup/salad/sandwiches	4.0	28	0.4	4	93	0.4	A	7	New York	100206
american	4.1040463	519	0.6				A	13	New York	106888
bakery	3.2777777	18	0.2				A	2	New York	31254
mediterranean/mideastern	3.4574468	282	0.4	3	70	0.6	A	5	New York	80519
streetvendors	3.3829787	47	0.4	4	19	0.2	B	23	New York	108250
american	3.8356164	73	0.4				A	13	Brooklyn	44173
coffee/cafe	3.0	14	0.4				A	7	Brooklyn	64981
latin	3.8057852	242	0.4				A	12	Brooklyn	44173
thai/vietnamese/se_asian	3.5757575	66	0.4	4	159	0.4	A	9	New York	106888
eastern_european	2.547619	42	0.4				Z	55	Brooklyn	42298
chinese	3.0714285	56	0.4	3	28	0.6	A	7	New York	64013
burgers/hotdogs/junk							A	13	Bronx	26541
burgers/hotdogs/junk	3.0	2						25	Bronx	22604
latin							A	7	Queens	43248
bars/nightlife	2.8510637	47	0.2				A	13	Brooklyn	93184
latin	4.0	4					A	13	Queens	44964
italian	3.5263157	76	0.6				A	8	New York	77853
italian	3.7272727	11	0.4				A	11	Staten Island	86759
burgers/hotdogs/junk	1.5333333	15	0.2				A	9	New York	26214
delis	2.8727272	55	0.4	5	190	0.4	A	13	New York	80519
italian	3.5243902	82	0.6				A	13	New York	108250
bakery	4.111111	27	0.2	3	106	0.2			New York	77853
american							A	2	Brooklyn	93184
mexican	3.3350253	197	0.4	4	94	0.4		26	New York	100206
coffee/cafe	4.888889	27	0.2						Brooklyn	28584
burgers/hotdogs/junk	3.75	4						31	Queens	57393
american							A	11	Staten Island	66478
soup/salad/sandwiches	3.4782608	23	0.4				A	12	New York	65934
mexican	4.6666665	6	0.2		0	0.4	A	5	Bronx	31594
bagels	1.8076923	26	0.2	3	49	0.2	A	11	New York	125830
american	4.5	4	0.4				B	17	New York	77853
italian	3.6	140	0.6	3	2	0.6	A	9	New York	105311
icecream/desserts	2.6	5	0.2				A	0	New York	87813
misc_restaurant	4.25	4	0.2				B	23	Queens	38631
misc_european	3.8888888	18	0.4				A	13	Queens	61284
chinese	3.3846154	52	0.4					26	Brooklyn	42298
american	2.8082595	340	0.6				A	12	New York	43049
italian	3.9312978	131	0.4	4	59	0.4	A	13	New York	87813
latin					0	0.4	B	18	Bronx	21913
chinese							A	7	Bronx	26120
italian	3.2567568	74	0.6				A	12	New York	64013
american	4.1538463	104	0.4				A	6	Brooklyn	37636
mediterranean/mideastern								25	Brooklyn	54664
bakery	3.9230769	143	0.4				A	11	New York	68790
coffee/cafe	5.0	4					A	2	Brooklyn	71999
coffee/cafe	2.0	6	0.4				B	14	Brooklyn	42298
latin							A	10	Brooklyn	42434
american	2.6284153	183	0.4	3	275	0.4	Z	27	New York	107976
latin	4.3333335	3					A	9	Queens	53914
chinese	3.5	4	0.4				Z	27	Brooklyn	38267
caribbean	2.857143	7	0.4				A	10	Queens	50130
spanish	3.3604336	369	0.4	3	22	0.6	B	16	New York	77853
indpak	4.0	108	0.4	4	148	0.4	A	10	Brooklyn	40481
coffee/cafe	3.2311828	186	0.4				A	9	New York	87813
icecream/desserts	2.3636363	11	0.2				A	7	Queens	55844
indpak	3.764706	34	0.4				A	9	New York	107976
chinese	3.6666667	9	0.4				A	13	Brooklyn	38267
american							A	13	Bronx	50329
bakery	2.8	5	0.2				A	12	Brooklyn	38267
burgers/hotdogs/junk	1.0	3					A	7	Queens	53914
american							Z	22	Queens	57393
bbq/southern	2.8461537	13	0.4				A	12	Queens	49528
misc_restaurant	3.8	4	0.2				A	11	Bronx	50329
chinese	2.75	8	0.2				Z	20	Queens	60603
mexican							A	13	Queens	44964
icecream/desserts	2.95	20	0.2				A	9	New York	43049
coffee/cafe							A	9	Brooklyn	93693
eastern_european							A	7	New York	32265
mediterranean/mideastern	4.0	10	0.8					28	Brooklyn	45112
eastern_european	3.7380953	42	0.2				A	12	Brooklyn	44173
mediterranean/mideastern	3.0	1		2	2	0.4	A	2	Queens	43909
thai/vietnamese/se_asian	2.897436	39	0.4	3	10	0.4	A	2	Brooklyn	49629
italian	3.7719297	57	0.4				Z	34	New York	68790
bbq/southern	3.9	10	0.2				A	12	Brooklyn	49002
mexican	4.2	5	0.2				A	4	Queens	46325
italian	3.3846154	13	0.2				A	9	Staten Island	86759
thai/vietnamese/se_asian	3.860465	43	0.4	5	10	0.4	B	18	Queens	60603
latin	3.5714285	8	0.4				A	10	Queens	58317
coffee/cafe	3.5	2					A	10	Bronx	22604
mexican	4.0	2	0.2				A	4	Brooklyn	57713
mediterranean/mideastern	4.068182	44	0.2				A	9	Queens	52199
coffee/cafe	4.178571	224	0.2				A	11	New York	59034
italian	4.3896103	77	0.4	4	7	0.4	A	12	New York	77853
chinese	2.9333334	30	0.2	4	28	0.4	A	12	New York	43049
italian	3.669173	133	0.4	5	54	0.4	A	9	Brooklyn	42434
italian	2.0	5	0.8				A	10	Queens	72538
coffee/cafe	1.875	23	0.4				A	10	New York	35694
japanese	3.7692308	13	0.2	2	4	0.2	A	7	Brooklyn	45112
american	2.2307692	13	0.2				A	10	New York	76138
bakery	4.1944447	36	0.2				A	2	Queens	50130
latin	3.6153846	13	0.4				A	11	Queens	60287
mediterranean/mideastern	4.2349396	166	0.2	4	6	0.4	A	7	New York	77853
pizza	3.162162	74	0.2	4	209	0.4	Z	23	New York	100206
caribbean							B	14	Queens	81390
pizza	2.56	25	0.4	3	43	0.4	A	7	Queens	56131
vegan/vegetarian/health								4	Queens	58965
chinese							A	9	Staten Island	51852
coffee/cafe	2.6666667	15	0.4				A	2	New York	87813
soup/salad/sandwiches	2.9629629	27	0.4	4	9	0.2	A	11	Brooklyn	93693
chinese	3.1176472	17	0.2				A	9	New York	127281
japanese	3.6402879	139	0.4				A	4	New York	105144
mediterranean/mideastern	3.924791	359	0.6				A	10	New York	77853
delis							A	8	Bronx	26541
chinese	3.25	4	0.2				A	10	Queens	59289
burgers/hotdogs/junk							A	0	New York	76138
chinese	3.642857	14	0.2		0	0.4	A	7	Queens	72837
african							A	5	Bronx	24445
american							A	9	New York	77853
bars/nightlife	2.5112653	577	0.2				A	4	New York	91767
thai/vietnamese/se_asian	3.680723	166	0.4	4	133	0.6	A	9	Brooklyn	93693
spanish	1.0	3					A	3	Queens	46325
bakery							A	8	Bronx	26636
soup/salad/sandwiches	3.4545455	22	0.4				A	11	New York	68790
chinese	4.6	5	0.2				A	10	Brooklyn	38267
italian	4.206897	58	0.6				A	9	Brooklyn	49629
misc							A	11	Bronx	26120
bars/nightlife	4.0	2	0.2						New York	59034
icecream/desserts	3.5	2	0.2				A	10	Brooklyn	68177
chinese							A	9	Brooklyn	60758
american							A	12	Bronx	61063
italian	4.230216	278	0.8				A	13	New York	77853
bars/nightlife	3.4537036	108	0.4				A	10	Brooklyn	93184
chinese	3.2173913	23	0.2	5	12	0.4	A	12	Queens	72538
diners	3.8235295	34	0.2					16	Bronx	53282
bakery	3.4444444	18	0.2	4	8	0.2	A	11	Brooklyn	28584
coffee/cafe	3.1666667	12	0.2		0	0.2	A	5	New York	80519
american							A	9	Brooklyn	68177
mediterranean/mideastern	3.0	10	0.4	2	3	0.4	A	7	Brooklyn	42568
american	3.4375	48	0.8				A	13	New York	80519
japanese	2.5151515	66	0.2	5	3	0.4	A	13	New York	210125
chinese	4.3333335	3						33	New York	35710
american	1.3333334	3	0.4				A	2	Bronx	63352
vegan/vegetarian/health	4.0652175	46	0.6	5	10	0.6	A	13	Brooklyn	44173
delis	3.6666667	3					A	9	New York	76138
icecream/desserts	3.5	12	0.2				A	13	New York	68463
burgers/hotdogs/junk	3.4814816	135	0.2				A	6	Brooklyn	93184
bars/nightlife	3.65019	262	0.4				A	9	Brooklyn	62634
coffee/cafe	4.1035714	280	0.2				A	11	New York	80519
steak/seafood	4.108871	496	0.6				B	16	New York	68790
italian	3.9563107	206	0.2	5	192	0.4	B	20	New York	106888
thai/vietnamese/se_asian	3.0921052	76	0.4				A	7	Brooklyn	62634
chinese							A	12	Bronx	24445
chinese	2.6923077	13	0.2					23	Queens	75729
icecream/desserts							A	8	Brooklyn	93693
american							A	10	Queens	46325
indpak	3.6875	16	0.4	4	29	0.4	A	13	New York	42058
japanese	3.875	24	0.4	4	21	0.2	A	10	New York	105144
pizza	3.9299066	215	0.2	4	30	0.4	Z	41	Brooklyn	44173
chinese	3.8655462	237	0.4	4	86	0.4	A	13	New York	105144
bars/nightlife	4.0532446	601	0.4				A	13	New York	59034
bars/nightlife	3.0809247	173	0.4				A	5	New York	91767
bars/nightlife	3.7460318	63	0.4				A	13	New York	64013
thai/vietnamese/se_asian	4.0	113	0.2				A	3	New York	91767
japanese	3.9313726	102	0.2				A	13	New York	91767
misc							A	6	Queens	50006
japanese	3.5559845	259	0.8				A	7	New York	68790
chinese	3.627907	43	0.4				Z	23	Queens	48236
bagels	3.4375	48	0.2				A	10	New York	105144
bakery	3.637255	102	0.4	4	17	0.4	Z	20	New York	96974
caribbean							B	24	Brooklyn	49002
caribbean	4.1125402	310	0.4				A	8	New York	41352
chinese	2.75	12	0.4				A	9	Queens	76014
misc							A	11	Bronx	35358
caribbean	5.0	1						2	Brooklyn	54664
burgers/hotdogs/junk	3.7777777	18	0.2				A	9	Queens	48236
american	3.387097	279	0.4	4	26	0.6	A	13	New York	68790
latin	3.7142856	7			0	0.4	A	9	Queens	50130
mexican	3.3857143	211	0.4	3	17	0.4	Z	49	New York	32265
mexican	4.4545455	33	0.4				B	17	Brooklyn	71999
vegan/vegetarian/health	3.0	3	0.6				A	7	Brooklyn	45112
chinese	3.3333333	3	0.2				A	10	Brooklyn	38267
american	3.367589	253	0.6				A	2	New York	87813
thai/vietnamese/se_asian				3	7	0.4	A	12	New York	105144
pizza	2.0	1		3	4	0.4	A	11	New York	76138
bakery	3.0	2	0.2				A	5	Brooklyn	78591
coffee/cafe	3.0	5	0.4				A	5	New York	80519
latin							Z	10	Queens	46325
burgers/hotdogs/junk	3.6072726	275	0.4	4	295	0.2	A	8	New York	101979
latin	3.4529412	170	0.4	4	21	0.6			Queens	43909
chinese	3.3225806	31	0.2				A	8	New York	32265
pizza	3.0	28	0.4	5	368	0.4	A	8	New York	64013
african	4.0666666	15	0.4				A	7	New York	35710
steak/seafood	4.3333335	39	0.8	5	4	0.8	A	13	New York	106888
pizza	5.0	1					A	7	Queens	43909
coffee/cafe	3.9836066	60	0.2				A	10	New York	95556
mexican	3.6122112	607	0.4				A	12	Queens	72538
bakery							A	4	New York	108250
bagels	4.0588236	17	0.2	3	21	0.4	A	12	Brooklyn	41688
bars/nightlife	3.889535	516	0.6				A	4	New York	108250
indpak	2.6666667	3	0.2					26	Queens	71292
french	3.576	125	0.4				A	13	New York	101979
coffee/cafe	4.2105265	76	0.2				A	9	Brooklyn	93184
mexican	3.6791444	187	0.2				A	7	Brooklyn	71999
american	3.1266668	450	0.4	3	53	0.4	B	19	New York	87813
american								2	New York	127281
diners	2.6083333	120	0.4	3	184	0.4	A	9	New York	91767
pizza	2.5625	16	0.2	4	29	0.2	A	8	Queens	43909
chinese							A	10	Queens	48236
pizza	5.0	1	0.2				A	12	Brooklyn	54664
american							A	2	Brooklyn	78591
latin	1.0	1	0.4		0	0.4	A	9	Queens	51258
burgers/hotdogs/junk	4.285714	7	0.2				A	8	New York	31254
coffee/cafe	4.340659	91	0.4				A	9	New York	32265
misc							A	5	Queens	48548
bakery							A	13	Brooklyn	37636
italian	3.5714285	76	0.4				A	12	New York	68790
thai/vietnamese/se_asian	3.189655	174	0.2				A	11	Brooklyn	41246
italian	3.145631	103	0.4	4	111	0.4	A	12	New York	101515
soup/salad/sandwiches	3.9	10	0.4					22	Queens	67516
bars/nightlife	3.9629629	54	0.4				B	18	Brooklyn	93184
chinese							A	7	Brooklyn	32642
thai/vietnamese/se_asian	3.5972223	72	0.4	4	225	0.6	A	10	Brooklyn	44173
mediterranean/mideastern	4.352941	187	0.4				Z	42	New York	77853
diners	3.633508	191	0.4				B	18	Brooklyn	71999
french	4.09607	229	0.6				A	6	New York	77853
misc_restaurant	3.0	2	0.4	3	264	0.4	B	16	New York	68790
american	3.4761906	21	0.4				A	13	New York	106888
bagels	1.8	15	0.2				A	0	New York	65934
american							A	13	New York	80519
italian	3.8297873	47	0.6				A	11	New York	108250
delis	2.6	10	0.4	3	11	0.4		19	New York	101515
cookingschools	3.8	20	0.8				A	10	Staten Island	51852
bagels	4.172414	29	0.2	5	3	0.4	A	5	New York	105144
misc								2	Brooklyn	44173
coffee/cafe	3.25	4					C	32	Brooklyn	38267
chinese	3.4	5		4	23	0.2	A	10	Brooklyn	40565
mexican	4.126923	260	0.2				A	13	New York	91767
american							A		Bronx	26541
bars/nightlife	4.5	2	0.4				A	11	New York	101979
american							A	13	New York	39897
italian	3.12	100	0.4	4	20	0.6	A	12	New York	68790
latin	2.8285713	34	0.4				A	12	New York	43049
american							A	10	Bronx	63352
american							A	10	New York	105311
american	3.1503959	379	0.4		0	0.2	A	11	New York	91767
pizza	3.3333333	6	0.2				A	12	Bronx	35358
italian	3.8806818	176	0.4				B	20	Brooklyn	93693
chinese								35	Queens	48236
american							A	9	New York	68790
bakery	4.0	1	0.2				B	26	New York	32265
indpak	4.0	10	0.2				A	6	Brooklyn	53251
italian	3.6666667	3		3	4	0.4	A	7	New York	77853
pizza	4.0	2					A	2	Bronx	35358
coffee/cafe	1.8461539	13	0.2				A	9	Queens	72538
bars/nightlife	4.0666666	15	0.8				A	12	New York	106888
misc									Brooklyn	38267
african	5.0	1	0.2				A	12	Bronx	22604
indpak	2.4255319	47	0.4	4	86	0.6	A	10	New York	80519
chinese	2.7515528	161	0.4				B	14	New York	68790
pizza	2.6363637	12	0.4				A	6	New York	36495
chinese	3.375	8	0.2				B	16	Brooklyn	40146
latin							A	11	Bronx	19271
vegan/vegetarian/health	3.0882354	34	0.2				A	9	New York	101515
thai/vietnamese/se_asian	2.9310346	58	0.2	4	150	0.4	A	4	Brooklyn	64981
chinese							A	7	Bronx	63352
pizza							A	12	Staten Island	62457
chinese	3.5660377	53	0.4	5	96	0.4	A	13	New York	65934
bakery	4.1578946	38	0.4	5	19	0.4	A	10	Queens	54188
indpak	3.310345	29	0.4				A	7	Queens	78415
spanish	3.9496717	456	0.6				A	11	New York	77853
icecream/desserts	4.3218884	233	0.4	5	18	0.2	A	9	New York	105144
misc	2.6	35	0.2	3	183	0.2	A	5	New York	106888
pizza	3.5454545	33	0.2	3	15	0.4	A	11	Queens	55844
italian	3.2333333	30	0.2	3	40	0.6	A	8	Queens	48548
japanese	3.965318	173	0.8	5	45	0.8	A	12	New York	110091
coffee/cafe	4.4545455	99	0.2				A	10	New York	101979
bars/nightlife	5.0	2						20	New York	210125
diners	3.0	40	0.2	2	26	0.6	A	5	Queens	72538
caribbean							A	5	Bronx	22625
bagels	1.9090909	11	0.2				Z	34	New York	101515
indpak	3.9464285	56	0.2				A	3	Queens	60603
american							A	8	Queens	47750
chinese	4.0	1			0	0.4	Z	3	Staten Island	79820
latin	4.1	30	0.4					6	Queens	43909
american	4.025641	78	0.4	5	56	0.4	A	9	Brooklyn	78591
french	4.079179	341	0.8				A	10	New York	106236
mediterranean/mideastern	3.4761906	21	0.4				A	13	Brooklyn	42568
coffee/cafe							A	5	Brooklyn	45112
american	2.8484848	66	0.4					17	New York	101979
italian	2.9818182	55	0.4				A	9	New York	64013
latin	5.0	1		3	14	0.4	A	7	Brooklyn	28584
chinese	4.3846154	13	0.4				A	10	Brooklyn	38267
american	2.9095745	188	0.4					23	New York	101979
misc_restaurant	1.0	1	0.4				B	18	New York	101979
diners	3.544304	79	0.2				A	12	Brooklyn	93184
misc_restaurant	2.4285715	7	0.4	3	11	0.2	A	7	Brooklyn	28584
thai/vietnamese/se_asian	3.5497382	191	0.4	4	141	0.4			New York	91767
mediterranean/mideastern	3.9482758	116	0.2					38	New York	87813
soup/salad/sandwiches	3.419355	62	0.4				A	10	New York	106888
italian	3.7588236	170	0.4	4	80	0.6	A	12	New York	108250
mediterranean/mideastern	4.3125	96	0.4				A	11	Bronx	53282
pizza	3.5192308	52	0.2				A	11	Brooklyn	44173
coffee/cafe	3.3061225	147	0.4	3	4	0.4	B	17	New York	101979
soup/salad/sandwiches	2.4	5	0.2		0	0.2	B	24	New York	101515
italian	3.2093024	86	0.4	4	36	0.6	A	13	New York	59034
coffee/cafe	4.2016463	243	0.4				A	11	New York	91767
misc								15	New York	76138
italian	4.4666667	15	0.4				B	25	Brooklyn	64981
italian							A	11	New York	106236
bars/nightlife	1.0	1	0.4				A	13	Brooklyn	35344
caribbean							B	25	New York	31254
italian	4.236948	249	0.6				A	12	New York	68790
bbq/southern	3.2017937	223	0.4	3	118	0.4	A	0	New York	110091
coffee/cafe	3.9130435	92	0.2				A	5	New York	106236
soup/salad/sandwiches	2.5	14	0.4				A	5	New York	87813
coffee/cafe	4.631579	19	0.2					13	Brooklyn	37636
delis	3.875	16	0.4	4	15	0.2	A	13	New York	26214
chinese							A	13	Queens	71292
italian	3.6111112	72	0.6				A	11	New York	96974
american							A	4	Bronx	26541
chinese	4.0	1					B	21	New York	31254
soup/salad/sandwiches	2.5	2	0.4				A	10	Queens	43419
mediterranean/mideastern	3.9855072	69	0.2				B	15	New York	91767
bars/nightlife	3.7118645	118	0.4				A	11	New York	77853
burgers/hotdogs/junk	3.8148148	27	0.4	4	16	0.4	A	13	Brooklyn	57713
delis	3.9444444	18	0.2	4	6	0.2	Z	19	Queens	52489
coffee/cafe							A	10	Bronx	50329
italian	4.419753	81	0.4	4	7	0.4	A	13	New York	68790
caribbean							A	12	Brooklyn	35344
pizza							A	12	Bronx	35358
coffee/cafe	4.5945945	37	0.4				A	11	New York	64013
mediterranean/mideastern							A	9	Brooklyn	45112
latin							A	7	Queens	46325
indpak	3.0	7	0.4				A	9	Queens	78415
icecream/desserts							A	7	Brooklyn	35665
breakfast_brunch	3.95	20	0.2				A	13	Queens	54188
chinese							A	12	Brooklyn	49002
indpak	4.0	4	0.4				A	12	Queens	53815
chinese	3.601626	123	0.2				A	12	New York	32265
chinese							A	13	Queens	60820
soup/salad/sandwiches								2	Staten Island	86759
mexican	3.2162163	37	0.2				A	9	New York	107976
bars/nightlife	3.4705882	85	0.2				A	12	New York	210125
japanese	4.037736	106	0.4	4	93	0.4	A	9	Queens	57576
coffee/cafe	3.264706	34	0.4				Z	24	Brooklyn	62634
pizza	4.0	3	0.2				A	2	Queens	57091
pizza							A	9	Bronx	26120
mexican	3.6153846	13	0.2				A	2	Brooklyn	38267
american							A	13	Queens	60820
spanish	1.5	4	0.4				A	13	Brooklyn	28584
chinese							A	12	Bronx	22604
american							A	9	Queens	44964
latin	4.390805	87	0.2				A	12	New York	64013
sushi	2.6190476	21	0.4	3	2		A	10	New York	76138
chinese							A	12	Bronx	26636
caribbean							B	17	Brooklyn	40146
thai/vietnamese/se_asian	3.6762295	244	0.4	4	289	0.4		26	New York	96974
american							A	11	Brooklyn	78591
japanese	3.4	10	0.4	4	37	0.4	A	7	New York	32265
mexican	4.0	2	0.2	3	4	0.4		20	Queens	51258
icecream/desserts	3.125	16	0.4				A	4	New York	76138
italian	3.8695652	23	0.6				A	13	New York	106888
italian	3.378531	177	0.4					41	Queens	43909
chinese	3.0	5	0.2				A	12	New York	36095
icecream/desserts	2.8	5	0.2				A	10	Queens	48236
pizza							A	13	Staten Island	87426
delis	3.3793104	58	0.2	5	90	0.4	A	7	Brooklyn	78591
spanish							A	3	Bronx	31594
steak/seafood								2	Brooklyn	62634
soup/salad/sandwiches	2.92	25	0.2	2	4	0.2	B	18	New York	35694
icecream/desserts							A	4	Queens	49371
coffee/cafe	4.25	8	0.4				A	5	New York	64013
american							A	13	Brooklyn	40481
korean	4.142857	119	0.2				A	5	New York	76138
chinese	2.7857144	14	0.2				A	13	Brooklyn	44173
chinese	3.6833074	641	0.2				A	8	New York	68790
bars/nightlife	2.9230769	13	0.4				B	20	Queens	60287
indpak	3.4210527	19	0.4				A	12	Queens	44964
icecream/desserts	2.6	10	0.2				A	4	Brooklyn	93693
vegan/vegetarian/health							A	12	Queens	65295
bars/nightlife	3.6944444	108	0.2				A	13	New York	91767
korean							A	11	New York	76138
spanish	2.8333333	12	0.2	3	18	0.4	A	2	Brooklyn	37608
coffee/cafe	4.0689654	29	0.2				A	12	New York	77853
mexican	4.285714	7	0.4				A	11	Queens	49528
soup/salad/sandwiches	3.2605634	142	0.4	4	148	0.4	A	7	New York	91767
thai/vietnamese/se_asian	3.5	34	0.4				A	13	Brooklyn	93693
american							A	0	New York	105311
indpak	4.275862	29	0.2				A	9	Queens	47750
misc_restaurant	2.0	4	0.2	3	2	0.4	A	12	New York	68790
american	4.4666667	15	0.4					5	Brooklyn	28584
soup/salad/sandwiches							A	5	Bronx	46001
american							A	5	Queens	46325
soup/salad/sandwiches							A	5	New York	36495
pizza	3.4303796	79	0.2				A	11	New York	100206
french	3.4103448	290	0.4	4	25	0.4	A	9	Brooklyn	42434
japanese	3.8255033	149	0.4					40	Brooklyn	78591
soup/salad/sandwiches	1.6666666	3					A	10	Brooklyn	28584
vegan/vegetarian/health							B	19	New York	41352
burgers/hotdogs/junk							A	9	Bronx	24478
italian	3.1666667	30	0.2	4	136	0.4	A	9	New York	127281
soup/salad/sandwiches	3.4935064	77	0.4					24	New York	65934
burgers/hotdogs/junk	3.775	81	0.4	4	17	0.4	A	7	New York	76138
delis	2.25	12	0.4				Z	27	New York	64013
mexican	2.9494047	335	0.4				A	11	New York	91767
bagels	2.8611112	36	0.2	4	184	0.2	A	10	New York	80519
latin							A	12	Queens	43909
chinese	4.75	4					A	8	Queens	57576
steak/seafood	3.7049181	244	0.8				A	7	New York	106888
italian							A	13	New York	80519
american							A	13	New York	106888
latin	3.4242425	33	0.4				A	10	Queens	99793
steak/seafood	2.9795918	196	0.4				A	12	Brooklyn	78591
chinese	3.4	5					A	10	New York	32265
chinese	3.4	10	0.2				A	10	Brooklyn	93184
burgers/hotdogs/junk	3.2534819	359	0.4	3	52	0.4	A	7	New York	64013
misc	3.8148148	27	0.2						New York	43049
italian				2	11	0.2	B	24	Brooklyn	35620
coffee/cafe	3.9387755	98	0.4				A	10	New York	101515
misc_restaurant	4.0	1					A	9	Brooklyn	42298
american	4.3333335	3	0.2				Z	29	New York	30674
coffee/cafe							A	13	New York	32265
mediterranean/mideastern							A	2	Bronx	24445
mexican							A	12	Brooklyn	34590
soup/salad/sandwiches							A	0	New York	80519
mediterranean/mideastern	3.9342105	76	0.4				A	13	Queens	57576
bars/nightlife	4.3135595	118	0.4				A	6	Brooklyn	71999
burgers/hotdogs/junk	3.5945945	38	0.4	5	41	0.2	A	13	New York	65934
bakery							A	11	Queens	58965
burgers/hotdogs/junk							A	12	Brooklyn	41688
pizza								8	New York	68790
mexican	2.9859154	71	0.4	3	32	0.4	B	20	New York	87813
mexican	4.3333335	3	0.2				B	20	Brooklyn	40960
american							A	11	New York	76138
american	3.2118645	118	0.4	3	39	0.4	A	10	New York	91767
indpak	3.7619047	42	0.4				A	4	Bronx	56058
korean							A	10	New York	87813
mediterranean/mideastern	4.15	20	0.2				A	12	Staten Island	56883
american	4.0427046	281	0.6				A	12	New York	105144
chinese	4.3333335	6	0.4				A	12	Bronx	24478
mediterranean/mideastern	3.12	25	0.4	3	25	0.2	A	13	New York	31254
latin							A	12	Queens	49528
bbq/southern	4.2222223	63	0.4				A	10	New York	30674
burgers/hotdogs/junk	1.5	4					A	10	Queens	49528
latin	3.7551022	49	0.4				A	11	Queens	54188
chinese	3.8669834	422	0.2				A	8	New York	68790
spanish	4.0	1					B	18	Brooklyn	27901
pizza	3.4871795	39	0.2	4	10	0.4	A	9	Queens	72538
american								22	Brooklyn	40146
american							A	9	Staten Island	66478
american							A	12	Brooklyn	60758
mexican	3.5033112	151	0.4	4	166	0.4	A	9	New York	68463
italian	3.7895522	670	0.4	5	365	0.4	A	7	New York	91767
bakery	4.40625	96	0.2				A	10	Brooklyn	71999
french	4.373814	1053	0.8				A	2	New York	105311
american							A	12	New York	101515
soup/salad/sandwiches	2.375	8	0.2				A	5	New York	68463
misc_restaurant							A	2	New York	76138
misc_european	3.5524194	248	0.4				A	13	New York	42058
italian	3.6774194	62	0.6	4	8	0.4	A	13	Brooklyn	57713
spanish	3.4969697	330	0.4	3	12	0.8	A	10	New York	77853
coffee/cafe							A	2	New York	95556
caribbean	5.0	2	0.2				A	8	Brooklyn	28584
delis	3.3125	16	0.2	5	27	0.2	B	23	New York	76138
thai/vietnamese/se_asian	3.5053763	93	0.4				A	4	Queens	57576
mediterranean/mideastern	3.9897435	195	0.4	5	24	0.6	A	12	New York	77853
japanese	3.8369565	92	0.2				A	10	New York	77853
soup/salad/sandwiches	3.5	2	0.4				A	5	Brooklyn	35344
pizza							A	12	Brooklyn	37608
mexican	3.6046512	43	0.2					35	Queens	51258
mediterranean/mideastern	2.7551022	49	0.4				A	8	Staten Island	66478
coffee/cafe	3.3153152	111	0.4				A	0	Queens	67924
italian				3	2	0.4	Z	23	New York	31254
steak/seafood	4.0860214	558	0.6				A	2	Brooklyn	44173
spanish	3.3030303	32	0.6				A	10	Queens	72837
pizza							A	12	New York	101515
latin	3.6419754	405	0.4				A	13	Queens	72538
american							A	3	Bronx	26541
american							A	9	New York	108250
indpak	4.057325	157	0.4				A	11	Brooklyn	57713
bbq/southern	3.4931335	800	0.4	4	41	0.8	A	12	New York	64013
coffee/cafe								0	Queens	48236
pizza	4.75	4	0.4				A	11	Brooklyn	32642
bagels	4.212121	33	0.2				B	15	Brooklyn	44173
italian	3.0625	16	0.4				B	24	Staten Island	90196
american	3.875	32	0.4				B	17	Brooklyn	44173
italian	4.125	96	0.4				A	10	Brooklyn	34590
american	3.3606558	61	0.4				A	12	Queens	53815
indpak	3.9418182	275	0.2	4	125	0.2	A	6	New York	77853
burgers/hotdogs/junk	2.0	2	0.2				A	11	Brooklyn	38267
american				4	10	0.2	A	8	New York	80519
spanish	4.4	5	0.2				A	7	Bronx	22625
icecream/desserts	3.7094016	116	0.2	3	12	0.4	A	2	New York	80519
bars/nightlife	3.15	40	0.4				B	15	Brooklyn	28584
italian	3.503597	139	0.4	5	49	0.4	A	11	New York	108250
chinese	3.6335616	292	0.4	4	140	0.4	A	12	New York	101979
misc_restaurant	4.0	4	0.2					27	Brooklyn	40481
american	2.875	8	0.4				A	3	Staten Island	79820
burgers/hotdogs/junk	1.8333334	6	0.2				A	8	Queens	44964
bbq/southern	3.255319	47	0.4				A	6	Brooklyn	64981
italian	3.7720587	272	0.4	4	33	0.6	A	7	New York	91767
american	3.0	353	0.4		0	0.4	A	13	New York	91767
latin	4.3333335	3	0.4				A	12	Queens	47750
african	3.1891892	111	0.4				A	9	Brooklyn	78591
bbq/southern	3.4047618	42	0.4				A	13	New York	30674
american									Brooklyn	37608
burgers/hotdogs/junk	3.6956522	115	0.4				A	12	Brooklyn	57713
bakery	2.8	5	0.4				A	7	New York	127281
mexican	4.8	5	0.2	4	9		A	10	Queens	51258
italian	3.4722223	36	0.8				A	7	New York	106236
bakery	3.0	1					A	10	Queens	70478
italian							A	13	Staten Island	66478
chinese	3.6818182	44	0.4				B	22	Staten Island	79820
coffee/cafe	4.053061	1223	0.4				A	5	New York	101515
