category	yelp_rating	yelp_rating_count	yelp_price	seamless_rating	seamless_rating_count	seamless_price	sanitation_grade	sanitation_score	city	median_zip_income
vegan/vegetarian/health	4.121951	82	0.2				A	2	New York	59034
american							A	12	Queens	78766
bbq/southern	3.4587488	1103	0.6				A	7	New York	35694
misc_european	4.0180182	111	0.4				B	19	Brooklyn	44173
vegan/vegetarian/health							A	5	Bronx	46001
pizza	4.4545455	44	0.2				A	10	Queens	58965
bars/nightlife	3.554622	119	0.4				A	7	New York	91767
pizza	3.6966293	89	0.4				A	12	New York	107976
vegan/vegetarian/health	4.571429	7	0.6				A	8	New York	76138
american							A	4	Queens	76014
american	4.2272725	44	0.4	3	5	0.6		37	Brooklyn	42434
thai/vietnamese/se_asian	4.5581393	43	0.4	4	23	0.4	A	12	New York	91767
american	3.2063491	63	0.4	4	2	0.6	A	9	New York	108250
chinese	2.5	2					A	7	Queens	43248
bars/nightlife	4.0685716	175	0.4					23	New York	32265
italian	3.0	19	0.4				A	9	Staten Island	79820
mexican	4.6666665	3	0.2				A	7	Bronx	24478
pizza	2.6666667	3	0.2	4	4	0.4			Brooklyn	38267
soup/salad/sandwiches	1.875	8	0.2				A	2	New York	68463
misc							A	4	Queens	49528
pizza	3.7435896	78	0.4	4	120	0.6	A	11	Brooklyn	44173
chinese	3.519685	127	0.4	4	249	0.4	A	13	New York	106888
caribbean							A	11	Brooklyn	35665
japanese	3.5584416	154	0.4					3	New York	32265
misc							A	12	Queens	46325
coffee/cafe							A	5	Brooklyn	93184
french	4.425	41	0.4	5	3	0.6		3	New York	96974
caribbean							A	9	Queens	81390
indpak				5	5	0.4	A	12	Queens	70438
latin	2.7142856	7	0.4				A	7	Bronx	19271
chinese	2.0	2	0.2				A	12	Queens	81390
chinese	3.9766083	172	0.2				A	9	Brooklyn	93693
latin	4.5	2					A	9	Brooklyn	44173
burgers/hotdogs/junk	1.2	5	0.2				A	13	Bronx	24478
coffee/cafe	4.1666665	6	0.2				A	5	Brooklyn	37608
sushi	2.857143	14	0.4	5	1121	0.4	A	12	New York	101979
thai/vietnamese/se_asian	3.875	40	0.4	4	22		B	15	New York	96974
pizza	3.8461537	13	0.2	4	18	0.4	A	11	Brooklyn	38267
chinese	3.2857144	7	0.4				A	3	Queens	43248
bagels	4.3103447	58	0.2				A	2	Queens	47750
african	4.493976	83	0.4				B	16	Brooklyn	37636
indpak							A	13	Queens	50006
bakery	4.5555553	18	0.2				A	2	New York	31254
pizza	2.952381	21	0.2	3	75	0.2	Z	19	New York	106888
pizza	4.3809524	21	0.2		0	0.4	Z	2	Brooklyn	41246
italian	3.4067798	118	0.6	5	8	0.6	A	9	New York	80519
bagels	2.4	5	0.2				A	4	New York	32265
mexican	2.6666667	36	0.2				A	10	Staten Island	77720
american	3.2633228	319	0.4	4	52	0.4	A	11	Brooklyn	62634
american	3.542683	164	0.4				A	10	Queens	55844
american	3.857143	7	0.2	4	2	0.4	A	2	Brooklyn	40146
burgers/hotdogs/junk							A	12	Bronx	32985
bakery	4.096774	93	0.2				A	6	New York	96974
soup/salad/sandwiches	2.0	1	0.2				A	5	Queens	53914
mediterranean/mideastern	3.7948718	78	0.4	5	64	0.4	A	10	Brooklyn	71999
icecream/desserts	3.5	34	0.2				A	2	New York	101979
latin							B	23	Bronx	31594
american	3.0789473	38	0.4				A	9	Queens	73893
french	3.102102	334	0.4				A	11	New York	110091
italian	3.3380282	142	0.4	4	185	0.6			New York	107976
american							A	12	New York	80519
chinese	1.6666666	3						21	New York	39897
american	4.114286	140	0.4				A	11	New York	68790
latin	3.0714285	14	0.4				A	12	Bronx	26636
italian	3.625	16	0.4				A	6	Staten Island	87426
american	2.9	10	0.4				A	11	New York	31254
bakery	3.503937	128	0.4				A	2	New York	108250
misc							A	9	Bronx	46001
chinese								10	Queens	48236
thai/vietnamese/se_asian	4.0	27	0.2	3	7	0.4	Z	19	Queens	55844
bars/nightlife	3.6095238	315	0.4				A	11	New York	77853
coffee/cafe	3.5197368	152	0.4					14	Brooklyn	64981
burgers/hotdogs/junk	3.0	1	0.2				A	10	Bronx	19271
misc_restaurant	5.0	1					A	9	Brooklyn	60758
chinese	3.6666667	15	0.4	4	16	0.4	A	8	Queens	47750
korean	3.2218597	1226	0.4				A	12	New York	76138
coffee/cafe	4.0	59	0.2				A	2	New York	91767
bars/nightlife	3.4285715	7	0.2				A	5	Brooklyn	57713
american							A	13	New York	32265
burgers/hotdogs/junk	1.8333334	6	0.2					27	Queens	70438
diners	2.9583333	72	0.4	4	56	0.6	A	5	New York	64013
thai/vietnamese/se_asian	3.602649	453	0.4	5	3	0.4	A	7	New York	80519
mexican	3.1566265	83	0.4				A	13	Staten Island	62457
chinese							A	7	Brooklyn	35620
bbq/southern	4.2826085	92	0.4				A	9	Brooklyn	64981
coffee/cafe	4.1007195	139	0.2				A	11	Brooklyn	64981
steak/seafood	3.4615386	39	0.4	3	13	0.6	A	12	New York	31254
mexican	3.1363637	43	0.4	4	13	0.4	A	5	Queens	55844
icecream/desserts	3.25	4	0.4				A	12	Queens	61284
american							A	7	Queens	55844
burgers/hotdogs/junk	3.8472223	360	0.2				A	9	New York	107976
chinese							A	8	New York	32265
mexican	3.7294118	85	0.2				B	19	Brooklyn	71999
chinese	3.75	4	0.2				A	7	Queens	48236
soup/salad/sandwiches	2.6666667	3	0.2				A	4	Bronx	53282
bakery	3.659091	44	0.4		0	0.2	A	13	New York	105144
american							A	10	New York	109960
coffee/cafe	2.4285715	35	0.2				A	4	New York	105311
american							B	17	Queens	85151
african	4.0	2	0.4				A	4	Queens	53914
burgers/hotdogs/junk	3.0	2	0.2				A	7	Queens	60603
mexican	3.488959	316	0.4	5	3	0.6	A	2	New York	108250
bars/nightlife	3.4	10	0.4				Z	33	Queens	48236
burgers/hotdogs/junk	3.0344827	232	0.4		0		A	11	New York	91767
coffee/cafe							A	3	New York	106888
chinese	3.548387	93	0.2				B	22	Queens	48236
chinese	2.6666667	3					A	2	Brooklyn	40565
japanese	3.5	64	0.6				A	13	New York	106888
coffee/cafe	3.608	124	0.4				A	7	New York	77853
mediterranean/mideastern					0	0.4	A	8	Brooklyn	54664
bagels	4.133333	15	0.2					41	Queens	65295
burgers/hotdogs/junk	3.7387943	647	0.2						Brooklyn	31415
french	3.5238094	21	0.6				Z	46	New York	35694
icecream/desserts	3.5	6					A	13	New York	64013
american	4.0949154	295	0.8					38	New York	80519
african	4.0	3	0.4				A	11	Brooklyn	49002
thai/vietnamese/se_asian							A	11	Queens	50130
mexican	3.564516	62	0.2	4	75	0.2	A	10	New York	64013
mediterranean/mideastern	4.0526314	38	0.2	4	103	0.4	A	2	Brooklyn	93184
chinese							A	5	Bronx	24478
american							A	9	New York	105311
american							A	10	New York	109960
chinese	3.5	10	0.2				C	33	Staten Island	50137
delis	4.0927835	291	0.2				A	11	New York	91767
mediterranean/mideastern	4.147651	149	0.6				A	4	Queens	72837
american	3.1875	16	0.2				A	13	Bronx	45460
american	3.8823528	17	0.6				A	10	New York	101979
chinese	3.0	3	0.2					20	Queens	61948
icecream/desserts	1.8	5	0.2				A	12	Bronx	35358
bakery							A	10	Queens	49528
soup/salad/sandwiches	2.0	2	0.2				B	17	New York	32265
italian	3.7997034	675	0.4	4	289	0.4	A	7	New York	127281
pizza	3.5104167	96	0.2	4	123	0.4	Z	30	New York	80519
chinese	3.4827585	58	0.2	5	314	0.4	A	11	New York	106236
american							A	13	Brooklyn	57713
japanese	3.5495496	222	0.6				A	9	New York	87813
diners	3.673913	46	0.2				A	11	Brooklyn	71999
mediterranean/mideastern	4.3333335	6	0.2				A	7	Brooklyn	53251
caribbean	3.2380953	21	0.4				Z	53	Brooklyn	60758
pizza	3.8333333	36	0.2				B	20	Brooklyn	38267
chinese							B	20	Brooklyn	35665
misc_restaurant	3.375	8	0.2				Z	6	Brooklyn	54664
bars/nightlife	3.5731707	82	0.2				A	7	Brooklyn	42434
italian	3.34	50	0.4				A	10	Brooklyn	61213
bars/nightlife	3.1764705	34	0.4				A	8	New York	64013
chinese	3.875	8	0.2				A	13	Queens	72538
icecream/desserts	2.4375	16	0.2				A	5	Brooklyn	78591
burgers/hotdogs/junk	4.177778	45	0.4					9	Brooklyn	93184
bagels							A	9	Queens	55553
bars/nightlife	3.1041667	48	0.2				A	2	New York	105144
coffee/cafe	3.5	6	0.4				A	2	New York	105311
pizza	3.0	2					A	12	Bronx	24478
thai/vietnamese/se_asian	4.230769	13	0.4	4	3	0.6		5	Queens	49371
latin	2.6666667	3	0.4				A	9	Brooklyn	34590
vegan/vegetarian/health	3.3333333	3	0.4				A	3	New York	106236
mediterranean/mideastern	4.428571	49	0.2				A	9	Bronx	53282
soup/salad/sandwiches	3.8295166	392	0.2	5	548	0.2	A	9	New York	91767
coffee/cafe							A	0	Brooklyn	93693
mexican	3.4708996	189	0.4				A	9	Brooklyn	93693
chinese	3.037736	53	0.2				Z	38	New York	32265
japanese	3.4961832	131	0.4	5	140	0.6	A	9	New York	100206
american	3.7296138	700	0.6				A	2	New York	68790
mediterranean/mideastern	3.5555556	9	0.4				A	11	Brooklyn	34590
pizza	2.6707318	82	0.2	4	457	0.4	A	13	New York	80519
american							A	12	New York	120729
pizza	4.16	25	0.2		0	0.4	A	11	Bronx	63352
bars/nightlife	4.2395835	96	0.4					22	Brooklyn	78591
indpak	3.8504672	107	0.2					33	New York	77853
american							A	12	New York	109960
bakery	4.25	8	0.2				A	12	Brooklyn	34590
mexican	4.1666665	6	0.4						Queens	49528
burgers/hotdogs/junk							A	13	Bronx	32985
icecream/desserts	2.0	1					B	19	Queens	57091
american	2.85	120	0.4				A	12	New York	106888
misc_european							A	3	Queens	51258
bars/nightlife	3.8911564	147	0.2				A	11	Brooklyn	93184
bars/nightlife	3.3	10	0.6				A	8	Queens	49528
italian	3.054054	37	0.2		0		A	6	New York	108250
coffee/cafe	5.0	3	0.6					10	Brooklyn	42434
american	3.8034189	117	0.4	5	2	0.4	A	11	Brooklyn	93693
burgers/hotdogs/junk	2.6148648	148	0.4	3	51	0.4	A	10	Brooklyn	93184
american							A	12	New York	64013
vegan/vegetarian/health	3.4736843	19	0.6	3	21	0.4	A	5	New York	95556
american	4.09375	33	0.2				A	2	Brooklyn	64981
bars/nightlife	4.1666665	18	0.2				A	7	Queens	43248
coffee/cafe	3.5196078	102	0.2	4	97	0.4	A	10	Brooklyn	93184
coffee/cafe	2.2	4	0.2					17	Queens	48236
latin	3.9583333	48	0.2				A	13	Queens	57576
burgers/hotdogs/junk	2.0	10	0.2				A	11	Queens	73079
breakfast_brunch	2.0	1					A	0	New York	76138
pizza							Z	41	Queens	73893
bars/nightlife	4.275862	29	0.4				A	5	Brooklyn	44173
mexican							A	8	New York	127281
american	4.109524	210	0.4				A	10	New York	59034
soup/salad/sandwiches	2.6363637	22	0.2				A	12	New York	127281
chinese	3.4580646	155	0.2				A	6	New York	68790
spanish	5.0	1					A	7	New York	41352
misc_restaurant	2.0	1	0.4				A	12	Brooklyn	49629
latin							A	12	Queens	61948
spanish	3.4857142	35	0.4				B	19	Brooklyn	35665
italian	3.88	25	0.6						Staten Island	79820
american							A	0	Bronx	26541
pizza	4.2	10	0.2				A	12	Brooklyn	34590
coffee/cafe	4.0	8	0.2				A	12	Queens	51258
pizza	3.5	14	0.2					26	Staten Island	54792
japanese	3.6585367	123	0.4	4	228	0.6	A	12	New York	68463
chinese	5.0	1					A	12	Brooklyn	45112
misc_restaurant	4.0	2	0.2				A	9	Bronx	21379
japanese	3.4799154	473	0.6				A	8	Queens	86051
pizza	3.488372	43	0.2	4	12	0.4	A	12	New York	95556
icecream/desserts	2.3333333	12	0.2				A	8	New York	110091
italian	3.27451	51	0.4				B	16	New York	95556
pizza				3	19	0.4	A	9	Brooklyn	35344
american							A	11	New York	40385
chinese	3.878453	362	0.2				A	10	New York	64013
chinese	5.0	1					A	10	Brooklyn	42298
vegan/vegetarian/health	4.3	70	0.2				A	12	Queens	53815
misc							A	2	Staten Island	54792
american							A	2	New York	96974
soup/salad/sandwiches	4.216418	134	0.2				A	2	Brooklyn	93184
italian							A	7	New York	105144
burgers/hotdogs/junk							A	8	Brooklyn	40481
chinese	2.75	12	0.6				B	25	Queens	48236
bars/nightlife	2.25	4	0.2				A	7	Brooklyn	40481
thai/vietnamese/se_asian	4.34153	367	0.2	5	22	0.2	A	9	New York	59034
misc_restaurant							A	0	Queens	53815
diners	2.9152544	59	0.4	4	9	0.4	A	10	New York	96974
coffee/cafe	3.642857	376	0.4				A	11	Queens	72837
sushi	2.5555556	9	0.6				A	10	Brooklyn	42298
misc_european	3.8903227	155	0.4				B	14	New York	59034
japanese	2.5507247	69	0.4	4	1244	0.4	Z	22	New York	95556
burgers/hotdogs/junk	3.3157895	19	0.4					8	Staten Island	87426
african								15	Bronx	26636
vegan/vegetarian/health	3.289855	138	0.4				A	9	Brooklyn	44173
caribbean								0	Brooklyn	60758
spanish								7	Brooklyn	41246
mediterranean/mideastern							B	23	New York	96974
american									New York	68790
american	3.4594595	222	0.4	4	11	0.6	A	12	Queens	72538
delis	2.0	2					B	19	Staten Island	54792
spanish								23	Queens	47750
eastern_european	3.8709676	31	0.4				A	10	Queens	72538
icecream/desserts	1.6666666	3	0.2				A	10	Queens	75729
french	3.8867924	53	0.2				Z	15	New York	108250
chinese							A	3	Bronx	26120
icecream/desserts	2.3333333	3	0.2				A	9	Staten Island	79820
bbq/southern	4.1555557	45	0.4	5	18	0.4	A	9	New York	91767
thai/vietnamese/se_asian	1.7647059	17	0.4	3	5	0.4	A	11	Queens	50130
mediterranean/mideastern	3.6666667	60	0.4	3	96	0.4	A	9	New York	87813
burgers/hotdogs/junk	3.75	4	0.4				A	10	Brooklyn	32642
spanish	3.2	5	0.2					60	Staten Island	50137
burgers/hotdogs/junk	2.5454545	11	0.2				A	8	New York	65934
chinese							A	11	New York	35710
chinese	3.0	4	0.2				A	7	Bronx	24478
coffee/cafe	3.7058823	153	0.4				A	12	Brooklyn	78591
chinese							B	20	Brooklyn	38267
american							A	12	Queens	60603
chinese	3.4210527	38	0.4				A	11	Brooklyn	53251
mexican	3.0	1					A	8	Queens	46325
pizza	4.5	2	0.2				A	9	Staten Island	62457
coffee/cafe	2.25	4	0.4				A	6	Brooklyn	42568
soup/salad/sandwiches								16	Staten Island	51852
bars/nightlife	3.8082192	73	0.4				B	22	New York	76138
american							A	6	New York	40565
latin	3.7983193	119	0.2	5	346	0.4	A	11	New York	91767
italian	4.2916665	24	0.2	4	26	0.2	A	9	Queens	57576
icecream/desserts							A	2	Brooklyn	61213
pizza	4.130435	23	0.4	3	42	0.2	C	44	Brooklyn	41688
mediterranean/mideastern	3.4646466	198	0.4	4	27	0.6	B	25	New York	80519
italian	4.2073393	545	0.4				A	11	New York	77853
american	3.4339623	53	0.4				Z	26	New York	105311
coffee/cafe	3.0	66	0.4	4	6	0.4	B	14	Brooklyn	61213
american							A	7	Brooklyn	44173
chinese	3.2903225	31	0.2				A	12	Queens	86051
coffee/cafe							A	9	Queens	
mexican	3.0526316	76	0.4	4	9	0.4	Z	35	Bronx	53282
coffee/cafe	2.0	1	0.4	5	10	0.4	A	7	New York	105311
american								21	Staten Island	56883
french	3.62	50	0.6				A	7	Brooklyn	93693
coffee/cafe	3.0	1					A	9	Queens	44964
american							A	2	New York	101515
coffee/cafe	3.9152544	118	0.4				A	13	New York	35694
italian	3.3333333	12	0.2	4	9	0.6	A	11	New York	106888
bbq/southern	4.1574073	110	0.4	5	29	0.4	A	11	New York	87813
thai/vietnamese/se_asian	4.0	3	0.2				B	23	Staten Island	79820
misc_european	3.5157895	95	0.4		0	0.6	A	11	New York	65934
latin	4.3333335	3	0.4				A	7	Queens	53914
pizza	3.9375	16	0.2	5	2	0.6	A	13	Queens	67924
burgers/hotdogs/junk	2.375	8	0.4	2	7	0.4	A	6	Queens	49528
bbq/southern	3.5	126	0.4				A	10	Brooklyn	41688
burgers/hotdogs/junk	3.76	25	0.4				A	7	Staten Island	54792
spanish	1.8461539	13	0.4	4	4	0.6	A	13	Bronx	21379
japanese	3.5405405	37	0.2	4	140	0.2	A	12	Brooklyn	41688
pizza	2.4285715	7					A	9	Staten Island	56883
misc_restaurant	4.3333335	3	0.2					17	New York	106888
american							A	4	Bronx	26636
burgers/hotdogs/junk	2.3333333	9	0.2				A	4	Brooklyn	57713
icecream/desserts	5.0	2	0.2				A	11	Brooklyn	40960
american							A	2	New York	91767
bars/nightlife	4.255814	86	0.4				A	11	Brooklyn	93184
burgers/hotdogs/junk	3.966942	121	0.4	4	70	0.4	A	5	Brooklyn	37636
pizza				4	2	0.4	A	11	Queens	71292
american	4.6666665	3	0.4				Z	4	New York	32265
burgers/hotdogs/junk	1.5	6	0.2				A	13	Queens	50130
pizza	3.4285715	7		4	28	0.4	Z	19	Brooklyn	64981
misc_restaurant									Queens	50006
american							A	5	Brooklyn	42568
american							A	11	New York	76138
burgers/hotdogs/junk							A	0	New York	76138
american	3.9157302	356	0.6				A	13	Brooklyn	93184
icecream/desserts							B	20	Queens	73893
pizza	2.25	4					A	12	Brooklyn	38267
bars/nightlife	3.7368422	19	0.4						Brooklyn	42298
coffee/cafe	3.25	4	0.4				A	5	Queens	48236
soup/salad/sandwiches	3.6666667	3	0.2		0	0.2	A	9	Queens	78415
pizza	3.0	9	0.4				A	11	Bronx	63352
chinese	2.2222223	9	0.2	4	11	0.4		39	Bronx	50329
coffee/cafe							A	5	Queens	67924
american	2.7049181	61	0.4				A	12	New York	76138
diners	3.5277777	36	0.2				A	13	Queens	47750
spanish							A	13	Queens	47750
american							Z	27	New York	59034
italian	3.6153846	13	0.4				A	11	Staten Island	79820
mexican	4.1875	16	0.2	3	51	0.4	A	9	Brooklyn	37636
pizza	4.0948815	801	0.4	5	85	0.6	A	5	New York	37636
burgers/hotdogs/junk	4.160954	671	0.2				A	5	New York	64013
caribbean								3	Queens	38631
pizza	2.75	4	0.2				A	13	Brooklyn	42568
chinese	3.5	4	0.2				A	10	Queens	77739
japanese	5.0	2	0.4	4	8	0.4	A	5	Queens	43248
spanish	4.0	1						32	Brooklyn	41688
italian	4.382353	34	0.4				A	12	Brooklyn	53251
indpak	3.2786884	61	0.4	4	99	0.4	A	9	Brooklyn	71999
vegan/vegetarian/health	2.9541984	131	0.4	4	274	0.4	B	25	New York	100206
thai/vietnamese/se_asian	2.3333333	3	0.2				A	11	Brooklyn	68177
american							A	12	Bronx	24478
burgers/hotdogs/junk							A	7	Bronx	26541
spanish	3.4	5	0.2				Z	24	Queens	53815
indpak	3.6216216	111	0.4	5	16	0.4			Queens	47750
chinese	2.0	3					Z	16	New York	32265
thai/vietnamese/se_asian	3.3376622	77	0.4	3	3	0.4	A	10	New York	76138
chinese							C	34	Queens	48236
italian	4.125	8	0.8				B	24	Staten Island	87426
delis	4.0	8	0.4				A	9	New York	64013
bakery	3.95	20	0.6				A	5	Brooklyn	64981
mexican	1.7142857	7	0.4				B	18	Queens	44964
thai/vietnamese/se_asian	3.387931	116	0.4				A	9	New York	87813
american							A	2	New York	64013
mediterranean/mideastern	3.7407408	81	0.4	5	74	0.2	A	13	Queens	57576
delis				5	13	0.2	A	11	New York	95556
steak/seafood	4.017341	519	0.8				A	13	New York	95556
indpak	3.5742574	102	0.4	5	381	0.4	A	11	New York	68463
icecream/desserts	1.0	1	0.2				B	19	Queens	67924
diners	3.3333333	18	0.2				A	6	Bronx	53282
bagels	4.0	18	0.2				B	20	Brooklyn	57713
pizza	2.4444444	9	0.2		0	0.6	A	2	New York	64013
misc_restaurant	2.0	1	0.2				B	26	Brooklyn	53251
chinese	3.890411	73	0.4				A	11	Queens	72837
pizza	3.112903	62	0.2	4	86	0.2	A	11	New York	96974
chinese	3.0	4	0.2				A	9	Bronx	55724
american							A	10	Staten Island	62457
soup/salad/sandwiches	4.0	27	0.4	4	10	0.4	A	7	New York	77853
bars/nightlife	2.772277	101	0.4						New York	106888
latin							A	10	Queens	47750
japanese	4.1291866	209	0.4	5	3	0.4	B	19	New York	87813
misc	4.5	2	0.8				A	12	Staten Island	79820
bakery	3.1732283	254	0.2				A	7	New York	32265
french	3.9925926	135	0.4				A	5	New York	80519
american	3.3021147	331	0.4				A	9	New York	91767
american	2.409091	44	0.4				A	10	Queens	44964
chinese	4.0	2	0.2				A	4	Staten Island	77720
bars/nightlife	4.13253	83	0.4				A	13	Brooklyn	37636
pizza	3.5	4					A	10	Queens	57393
bars/nightlife	3.625	103	0.2				Z	45	Brooklyn	44173
chinese	3.1755102	245	0.4	3	13	0.4	A	9	New York	76138
soup/salad/sandwiches	2.590909	22	0.2					82	New York	210125
pizza							A	7	Queens	71292
latin	3.6666667	24	0.2				Z	15	Brooklyn	38267
burgers/hotdogs/junk	2.516129	31	0.2				A	11	New York	91767
latin	4.264151	159	0.2				Z	23	Queens	43909
mediterranean/mideastern							A	10	Brooklyn	45112
soup/salad/sandwiches	2.5	2	0.4				A	12	Bronx	63352
american							A	8	New York	35694
delis							A	0	New York	76138
japanese	3.238806	67	0.4	4	71	0.4	A	7	Brooklyn	42434
chinese							A	7	Bronx	50329
chinese	3.8732395	71	0.4				A	12	Queens	43248
vegan/vegetarian/health	4.0491805	183	0.4						Brooklyn	78591
soup/salad/sandwiches	3.2857144	42	0.2				Z	23	New York	39897
indpak	2.775	40	0.4	3	80	0.4	A	12	Brooklyn	40481
american	3.0	2					A	3	Brooklyn	35344
